"","ID","Date","Acc_Exp","shelf","tank","tankID","pCO2.x","length","width","pop","Timepoint","pCO2.y","pHMeasured","pHNBS","pHSW","pHTotal","Temp_Complete","Sal_Complete","CT_Complete","AT_Complete","pH_Complete","pCO2_Complete","CaSat_Complete","ArgSat_Complete","Temp_2W","Sal_2W","pH_NBS_2W","pH_SW_2W","pH_Total_2W","pH_scaleFree_2W","delta_ph_NBS","delta_ph_total"
"57",17028,2017-06-26,"Exposure",1,3,3,400,3.448,2.196,"Rowley",22,400,7.66091954,7.575282377623,7.44478435209887,7.45513854425885,17.5333333333333,30.5633333333333,1925.63666666667,2078.63666666667,7.91,536.233333333333,2.89333333333333,1.85,17.1,30.7244285714286,8.19571428571429,8.06485714285714,8.07385714285714,7.90371428571429,-0.620431908091287,-0.618718598598293
"58",17030,2017-06-26,"Exposure",5,1,13,900,4.619,2.022,"Rowley2",22,900,7.448275862,7.362638699623,7.23214067409887,7.24249486625885,17.4,30.5633333333333,1768.92,2088.97333333333,7.73,875.1,2.07333333333333,1.32666666666667,17.0714285714286,30.6812857142857,7.94085714285714,7.81028571428571,7.81928571428571,7.64942857142857,-0.578218443234143,-0.576790848026864
"59",17048,2017-06-26,"Exposure",5,3,15,900,3.854,1.968,"Rowley",22,900,7.396551724,7.310914561623,7.18041653609887,7.19077072825885,17.4333333333333,30.5633333333333,2016.93666666667,2088.85333333333,7.74666666666667,823.433333333333,2.12,1.35666666666667,17.0714285714286,30.7054285714286,7.94457142857143,7.814,7.82257142857143,7.65285714285714,-0.633656866948429,-0.631800700312579
"60",17053,2017-06-26,"Exposure",4,1,10,2800,3.676,1.75,"Rowley2",22,2800,7.517241379,7.431604216623,7.30110619109887,7.31146038325885,17.2666666666667,30.5633333333333,2046.16,2115.2,7.35333333333333,2172.8,0.91,0.583333333333333,17.0142857142857,30.6864285714286,7.52414285714286,7.39385714285714,7.40285714285714,7.233,-0.0925386405198578,-0.0913967595982932
"61",17075,2017-06-26,"Exposure",3,1,7,900,5.77,1.955,"Rowley2",22,900,7.620689655,7.535052492623,7.40455446709887,7.41490865925885,17.0666666666667,30.5633333333333,2019.83,2091.12333333333,7.67666666666667,979.833333333333,1.79,1.14333333333333,17,30.6671428571429,7.91071428571429,7.78014285714286,7.78871428571429,7.61942857142857,-0.375661793091286,-0.373805626455436
"62",17095,2017-06-26,"Exposure",1,1,1,400,5.149,3.013,"Rowley2",22,400,7.632183908,7.546546745623,7.41604872009887,7.42640291225885,17.5666666666667,30.4866666666667,1925.26333333333,2082.22,7.91666666666667,524.666666666667,2.96,1.89333333333333,17.0857142857143,30.6287142857143,8.19071428571429,8.06,8.06885714285714,7.89985714285714,-0.644167540091286,-0.642454230598292
"63",17110,2017-06-26,"Exposure",4,2,11,2800,4.02,2.471,"Ipswich",22,2800,7.333333333,7.247696170623,7.11719814509887,7.12755233725885,17.4,30.5533333333333,2034.64,2120.53,7.29666666666667,2577.4,0.816666666666667,0.52,17.0142857142857,30.7148571428571,7.52428571428571,7.39414285714286,7.40285714285714,7.23271428571429,-0.276589543662714,-0.275304805598293
"64",17114,2017-06-26,"Exposure",6,2,17,2800,3.992,1.934,"Ipswich",22,2800,7.5,7.414362837623,7.28386481209887,7.29421900425885,17.1,30.5633333333333,2170.6,2117.22,7.26,2698.2,0.736666666666667,0.47,16.9428571428571,30.715,7.57542857142857,7.44528571428571,7.45357142857143,7.28385714285714,-0.161065733805572,-0.159352424312578
"65",17116,2017-06-26,"Exposure",3,2,8,900,3.69,2.401,"Rowley",22,900,7.275862069,7.190224906623,7.05972688109887,7.07008107325885,17.0333333333333,30.53,2012.91333333333,2086.85333333333,7.68666666666667,951.3,1.82,1.16333333333333,16.9285714285714,30.6815714285714,7.90757142857143,7.77728571428571,7.78571428571429,7.61614285714286,-0.717346521948429,-0.715633212455436
"66",17151,2017-06-26,"Exposure",5,2,14,900,3.088,2.12,"Ipswich",22,900,7.528735632,7.443098469623,7.31260044409887,7.32295463625885,17.4,30.5866666666667,1701.57,2094.36666666667,7.76,800.533333333333,2.15666666666667,1.38,17.0571428571429,30.7148571428571,7.93485714285714,7.80428571428571,7.813,7.64314285714286,-0.491758673234143,-0.490045363741149
