Date,TankID,Temp_Complete,Sal_Complete,CT_Complete,AT_Complete,pH_Complete,pCO2_Complete,CaSat_Complete,ArgSat_Complete,Temp_2W,Sal_2W,pH_NBS_2W,pH_scaleFree_2W,Temp_Cal,Sal_Cal,CT_Cal,AT_Cal,pH_Cal,pCO2_Cal,CaSat_Cal,ArgSat_Cal
2017-06-13,11,17.4666666666667,30.27309909,1948.629319,2086.59596866667,7.461,2112.03333333333,1.40666666666667,0.896666666666667,17.4,30.0137469428571,7.58523,7.28826714285714,NA,NA,NA,NA,NA,NA,NA,NA
2017-06-06,11,17.45,30.36283156,2063.6782365,2095.669689,7.5385,1977.05,1.71,1.09,17.3,29.9904119866667,7.80214,7.505405,NA,NA,NA,NA,NA,NA,NA,NA
2017-07-24,12,17.6428571428571,30.7764040885714,1792.70695421429,2129.95174528571,7.40157142857143,2214.31428571429,1.19857142857143,0.767142857142857,18.2857142857143,30.9375037428571,7.36775285714286,7.06164857142857,17.38,30.64275992,1626.3348793,2117.0822066,7.4542,2006.26,1.352,0.864
2017-08-23,12,17.9111111111111,30.8301319733333,1873.98762561111,2130.509179,7.38491888888889,2251.80488888889,1.14006777777778,0.730165555555556,19.1285714285714,31.03796867,7.35088857142857,7.04379285714286,17.38,30.64275992,1626.3348793,2117.0822066,7.4542,2006.26,1.352,0.864
2017-06-26,12,17.375,30.47524165,1479.101704625,2102.7437165,7.4935,1871.9,1.48,0.945,17,30.7243843157143,7.52948714285714,7.22549285714286,NA,NA,NA,NA,NA,NA,NA,NA
2017-06-05,12,17.75,30.36283156,1200.35246125,2102.0056245,7.617,1673.8,2.03,1.295,17.4,30.0015788033333,7.91791,7.62107,NA,NA,NA,NA,NA,NA,NA,NA
2017-06-13,12,17.6666666666667,30.27309909,1248.6185875,2083.19145,7.52133333333333,1856.56666666667,1.63,1.04,17.5,30.0232014042857,7.59105571428571,7.29399857142857,NA,NA,NA,NA,NA,NA,NA,NA
2017-06-06,12,17.75,30.36283156,1200.35246125,2102.0056245,7.617,1673.8,2.03,1.295,17.4166666666667,30.0013909083333,7.79120333333333,7.494365,NA,NA,NA,NA,NA,NA,NA,NA
2017-07-24,13,17.5,30.64399785125,1916.504958125,2084.1302385,7.696625,1021.225,1.98625,1.27,18.2428571428571,30.9566646871429,7.85518285714286,7.54889,17.3333333333333,30.4884922966667,1863.58633516667,2080.19615383333,7.767,804.05,2.20833333333333,1.41166666666667
2017-08-23,13,17.78,30.70880046,1946.7690242,2095.1463119,7.685993,1033.6345,1.956605,1.252635,19.2285714285714,31.0810918985714,7.83604,7.52851571428571,17.3333333333333,30.4884922966667,1863.58633516667,2080.19615383333,7.767,804.05,2.20833333333333,1.41166666666667
2017-06-26,13,17.3,30.323624156,1821.7302402,2066.7265784,7.7864,762.6,2.278,1.456,17.0714285714286,30.6811748942857,7.95308428571429,7.64951857142857,NA,NA,NA,NA,NA,NA,NA,NA
2017-06-05,13,17.4333333333333,30.1476057666667,1942.23885033333,2045.14754766667,7.76933333333333,809.8,2.21333333333333,1.41333333333333,17.2833333333333,30.01801622,8.00241666666667,7.70541,NA,NA,NA,NA,NA,NA,NA,NA
2017-06-13,13,17.425,30.1341128625,1769.69948475,2046.41591525,7.78025,776.475,2.2425,1.4325,17.5285714285714,30.03227862,7.92142285714286,7.62427571428571,NA,NA,NA,NA,NA,NA,NA,NA
2017-06-06,13,17.4333333333333,30.1476057666667,1942.23885033333,2045.14754766667,7.76933333333333,809.8,2.21333333333333,1.41333333333333,17.4333333333333,30.0346193616667,7.95343666666667,7.65626666666667,NA,NA,NA,NA,NA,NA,NA,NA
2017-07-24,14,17.4714285714286,30.5818399957143,1865.49120628571,2095.30400971429,7.76957142857143,794.1,2.23,1.42571428571429,18.2142857142857,30.9805078157143,7.85536428571429,7.54883857142857,17.3,30.357018036,1781.3864302,2073.5915628,7.8122,699.02,2.378,1.518
2017-08-23,14,17.7888888888889,30.6676557511111,1905.70028811111,2105.18892633333,7.75581777777778,826.367,2.20754222222222,1.41274222222222,19.2428571428571,31.0810918985714,7.83439857142857,7.52687571428571,17.3,30.357018036,1781.3864302,2073.5915628,7.8122,699.02,2.378,1.518
2017-06-26,14,17.3,30.357018036,1781.3864302,2073.5915628,7.8122,699.02,2.378,1.518,17.0571428571429,30.7147542671429,7.94703,7.64313,NA,NA,NA,NA,NA,NA,NA,NA
