ID,shelf,tank,pCO2,DIC,TA,pCO2_calc,Calcite,pH_meas,EPF_pH,EPF_1hr,EPF_2hr,EPF_4hr,EPF_8hr,EPF_12hr,EPF_24hr,Notes
17038,5,3,900,2441.67,2467.77,890.65,2.12,7.62,7.70727,7.601156069,7.716763006,7.716763006,7.484615385,7.61849711,7.424474187,Respiration too non-linear to keep
17039,3,3,900,2442.18,2466.7,908.54,2.07,7.59,7.461538462,7.485549133,7.456647399,7.612716763,7.651923077,7.312138728,7.080305927,
17057,4,1,2800,2587.92,2497.79,2378.18,1.08,7.23,7.369241,7.369942197,7.369942197,7.312138728,7.346153846,6.791907514,7.4416826,
17058,4,1,2800,2587.92,2497.79,2378.18,1.08,7.23,7.369241,7.156069364,7.190751445,7.242774566,7.305769231,7.346820809,7.470363289,
17073,3,2,900,2449.19,2464.79,904.6,2.08,7.59,7.438461538,7.36416185,7,7.624277457,7.357692308,7.543352601,7.424474187,
17074,1,3,400,2377.12,2484.38,574.36,2.93,7.84,7.889571,6.791907514,6.63583815,7.560693642,6.976923077,6.855491329,6.684512428,
17081,2,1,400,2359.13,2470.99,545.47,2.98,7.83,7.907222,7.421965318,7,7.791907514,7.796153846,7.63583815,7.739961759,
17088,3,3,900,2442.18,2466.7,908.54,2.07,7.59,7.455769231,7.277456647,6.930635838,7.50867052,7.415384615,7.450867052,6.810707457,
17091,2,2,400,2329.53,2437.2,590.67,2.86,7.83,6.844230769,7.063583815,6.994219653,7.878612717,7.848076923,7.289017341,6.546845124,
17105,1,2,400,2388.7,2486.18,535.06,3.1,7.84,7.916714,7,6.751445087,7.450867052,7.657692308,7.225433526,7.728489484,
17115,1,2,400,2388.7,2486.18,535.06,3.1,7.84,7.916714,7.867052023,7.971098266,7.849710983,7.934615385,7.953757225,7.917782027,
17118,1,1,400,2404.69,2506.24,576.45,2.97,7.83,7.893875,7.520231214,7.936416185,7.942196532,7.836538462,7.716763006,NA,
17139,5,1,900,2439.9,2459.91,936.56,2.02,7.62,7.70727,7.601156069,7.670520231,7.630057803,7.669230769,7.450867052,7.653919694,
17144,1,1,400,2404.69,2506.24,576.45,2.97,7.83,7.692307692,7.61849711,7.76300578,7.76300578,7.628846154,7.606936416,7.367112811,
17148,2,3,400,2348.8,2454.04,519.42,3.1,7.83,7.398076923,7.786127168,7.63583815,7.543352601,7.657692308,7.583815029,7.573613767,
17152,1,3,400,2377.12,2484.38,574.36,2.93,7.84,7.034615385,7.50867052,7.023121387,7.76300578,7.807692308,7.450867052,7.091778203,
17161,3,1,900,2453.26,2468.16,943.47,2.01,7.59,7.705852,7.242774566,7.01734104,7.450867052,7.369230769,7.427745665,7.470363289,
17167,6,1,2800,2616.63,2523.13,2423.47,1.17,7.24,7.378642,7.132947977,7.213872832,7.312138728,7.288461538,7.161849711,7.309751434,
17169,4,3,2800,2612.89,2488.3,2516.92,1.01,7.22,6.786538462,7.312138728,7.25433526,7.260115607,7.357692308,7.265895954,7.229445507,Respiration too non-linear to keep
17172,5,3,900,2441.67,2467.77,890.65,2.12,7.62,7.730839,7.583815029,7.693641618,7.566473988,7.698076923,7.462427746,7.24665392,
17180,5,3,900,2441.67,2467.77,890.65,2.12,7.62,7.730839,7.213872832,6.687861272,7.387283237,7.571153846,7.450867052,6.793499044,Respiration too non-linear to keep
17188,6,3,2800,2622.52,2522.02,2555.7,1.13,7.23,7.359558,7.115606936,7.190751445,7.213872832,7.253846154,7.277456647,7.229445507,
17193,3,3,900,2442.18,2466.7,908.54,2.07,7.59,7.369230769,7.375722543,7.479768786,7.751445087,7.703846154,7.260115607,7.413001912,
17194,5,3,900,2441.67,2467.77,890.65,2.12,7.62,7.190384615,7.572254335,7.589595376,7.427745665,7.519230769,7.468208092,7.556405354,
17200,3,3,900,2442.18,2466.7,908.54,2.07,7.59,7.888461538,7.497109827,7.514450867,7.514450867,7.623076923,7.23699422,7.263862333,
17214,5,2,900,2441,2468.42,865.45,2.15,7.62,7.739234,7.653179191,7.624277457,7.699421965,7.744230769,7.676300578,7.424474187,
17015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17044,4,2,2800,2601.68,2504.96,2527.05,1.02,7.22,NA,NA,NA,NA,NA,NA,NA,
17071,5,2,900,2441,2468.42,865.45,2.15,7.62,NA,NA,NA,NA,NA,NA,NA,
17087,6,1,2800,2616.63,2523.13,2423.47,1.17,7.24,NA,NA,NA,NA,NA,NA,NA,
17100,5,1,900,2439.9,2459.91,936.56,2.02,7.62,NA,NA,NA,NA,NA,NA,NA,
17101,6,2,2800,2608.91,2522.06,2346.38,1.21,7.23,NA,NA,NA,NA,NA,NA,NA,
17102,1,1,400,2404.69,2506.24,576.45,2.97,7.83,NA,NA,NA,NA,NA,NA,NA,
17125,5,2,900,2441,2468.42,865.45,2.15,7.62,NA,NA,NA,NA,NA,NA,NA,
17128,3,1,900,2453.26,2468.16,943.47,2.01,7.59,NA,NA,NA,NA,NA,NA,NA,
17132,6,2,2800,2608.91,2522.06,2346.38,1.21,7.23,NA,NA,NA,NA,NA,NA,NA,
17136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17137,1,1,400,2404.69,2506.24,576.45,2.97,7.83,NA,NA,NA,NA,NA,NA,NA,
17140,6,2,2800,2608.91,2522.06,2346.38,1.21,7.23,NA,NA,NA,NA,NA,NA,NA,
17146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17164,4,2,2800,2601.68,2504.96,2527.05,1.02,7.22,NA,NA,NA,NA,NA,NA,NA,
17175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17177,2,1,400,2359.13,2470.99,545.47,2.98,7.83,NA,NA,NA,NA,NA,NA,NA,
17201,6,3,2800,2622.52,2522.02,2555.7,1.13,7.23,NA,NA,NA,NA,NA,NA,NA,
17216,2,1,400,2359.13,2470.99,545.47,2.98,7.83,NA,NA,NA,NA,NA,NA,NA,
17219,1,1,400,2404.69,2506.24,576.45,2.97,7.83,NA,NA,NA,NA,NA,NA,NA,
