ID,experiment,Acc_Exp,shelf,tank,tankID,exp_pCO2,pCO2,PopOrigin,length,width,pop,DrillDate,survival,survival_date,sample_index,tpnum_actual,sample_date,t_start,t_shuck,t_end,g_index,g_collect,g_20,m_tissue,dm_tissue,g_tissue,p_fluid,wet_wgt,tin_wgt,dry_wgt,wet_wgtcorr,dry_wgtcorr,bag_wgt,totalshell_wgt,shell_wgt,dry_end_meas,Hard_Nell_Index,Hard_Nell_Size_Correction,ShellWt_ShellSizeCor,Simple_ConditionIndex,Repair_Shell_Quality,notes
17040,exposure,Exposure,4,2,11,2800,2800,Ipswich,4.415,2.609,Ipswich,20170427,Y,20170606,83,5,20170606,13:35,13:47,13:50,0,N,NA,Y,Y,Y,Y,13.88,1.31,2.64,12.57,1.33,11.53,97.61,86.08,86.08,1.229176093,0.2784090812,7.47304283,39.18765243,2,
17041,exposure,Exposure,6,3,18,2800,2800,Rowley2-Sawyers,5,2.127,Rowley2,20170427,Y,20170724,144,8,20170724,14:58,15:05,15:08,0,N,N,Y,Y,Y,Y,9.73,1.29,2.509,8.44,1.219,NA,NA,NA,69.807,2.069008547,0.4138017093,6.563892807,37.37962658,3,
17042,exposure,Exposure,5,1,13,900,900,Rowley1-RR,2.806,1.971,Rowley,20170427,Y,20170724,139,8,20170724,12:41,13:19,13:22,0,N,N,Y,Y,Y,Y,4.83,1.29,1.828,3.54,0.538,NA,NA,NA,38.212,3.977216611,1.417397224,6.909163628,22.87679235,2,
17043,exposure,Exposure,1,2,2,400,400,Ipswich,3.321,2.205,Ipswich,20170427,Y,20170822,163,10,20170824,10:44,10:54,10:58,0,N,N,Y,Y,Y,Y,6.08,1.27,2.214,4.81,0.944,NA,NA,NA,45.265,4.335751602,1.305556038,6.181374487,34.8845608,5,
17044,calcein,DEAD,4,2,11,2800,2800,Rowley2-Sawyers,3.673,1.949,Rowley2,20170427,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,NA,
17045,exposure,Exposure,6,2,17,2800,2800,Rowley1-RR,4.087,2.017,Rowley,20170427,Y,20170606,89,5,20170606,14:01,14:06,14:11,0,N,NA,Y,Y,Y,Y,3.75,1.29,1.7,2.46,0.41,11.46,74.43,62.97,62.97,2.646763009,0.6476053361,7.638765138,14.28001254,1,
17046,exposure,Acclimation,3,1,7,900,400,Ipswich,4.732,2.08,Ipswich,20170427,Y,20170602,43,3,20170602,11:44,11:51,11:56,0,N,NA,Y,Y,Y,Y,8.04,1.31,2.18,6.73,0.87,11.53,84.87,73.34,73.34,1.762638625,0.3724933697,7.451313479,27.73097997,2,
17047,exposure,Acclimation,6,1,16,2800,400,Rowley2-Sawyers,4.089,1.414,Rowley2,20170427,Y,20170509,16,1,20170509,NA,11:55,NA,0,Y,NA,Y,Y,Y,Y,4.57,1.29,0.81,3.28,-0.48,6.62,36.89,30.27,30.27,-4.834537939,-1.182327694,5.23535217,-19.96218046,0,Stabbed while shucking
17048,exposure,Exposure,5,3,15,900,900,Rowley1-RR,3.854,1.968,Rowley,20170427,Y,20170626,122,7,20170626,13:53,13:56,14:01,0,Y,NA,Y,Y,Y,Y,6.84,1.28,2.03,5.56,0.75,NA,NA,NA,49.155,2.744219028,0.7120443768,6.480833977,27.2328354,2,Sickly looking
17049,exposure,Exposure,2,2,5,400,400,Ipswich,4.7,2.283,Ipswich,20170427,Y,20170605,71,4,20170605,15:04,15:12,15:16,0,Y,NA,Y,Y,Y,Y,13.29,1.3,3.19,11.99,1.89,11.45,114.13,102.68,102.68,1.535171012,0.3266321301,9.569342317,57.69788842,3,Fell to ground while open
