Rank,ID,WaterSample_ID,shelf,tank,pCO2,DIC,TA,pCO2_calc,Calcite,pH_meas,survival,survival_date,sample_date,bw1_BW,bw1_date,bw1_date_alt,bw1_std_wt,bw1_temp,bw1_sal,bw2_BW,bw2_date,bw2_date_alt,bw2_std_wt,bw2_temp2,bw2_sal,bw3_BW,bw3_date,bw3_date_alt,bw3_std_wt,bw3_temp,bw3_sal,dry_end_meas,dry_measurer,bw1_bw2_std_corr,bw1_bw3_std_corr,bw2_BW_corr,bw3_BW_corr,"dry1_final
",dry2_final,dry3_final,bw1_bw2_dayRange,bw2_bw3_dayRange,bw1_bw2_diff,bw2_bw3_diff,bw1_bw2_daily,bw2_bw3_daily,bw1_bw2_daily_sizeCorr,bw2_bw3_daily_sizeCorr,"Calcification_daily_sizeCorr
","Calcification_daily_sizeCorr_percent
"
44,17086,13,5,1,900,2439.9,2459.91,936.56,2.02,7.62,Y,20170602,20170602,29.909,170504,05/04/17,2.77,13.00,32.433,29.814,170530,05/30/17,2.745,17.2,29.433,NA,NA,NA,NA,NA,NA,53.13,Isabel,0.009,NA,30.087,NA,53.131,53.462,NA,26.000,NA,0.331,NA,0.013,NA,0.000,NA,NA,
45,17096,12,4,3,2800,2612.89,2488.3,2516.92,1.01,7.22,Y,20170602,20170602,23.694,170506,05/06/17,2.80,13.00,32.667,23.848,170530,05/30/17,2.745,17.2,29.433,NA,NA,NA,NA,NA,NA,41.83,Isabel,0.020,NA,24.325,NA,41.540,42.715,NA,24.000,NA,1.175,NA,0.049,NA,0.001,NA,NA,
46,17097,16,6,1,2800,2616.63,2523.13,2423.47,1.17,7.24,Y,20170602,20170602,31.231,170505,05/05/17,2.79,12.90,32.533,31.208,170530,05/30/17,2.745,17.2,29.433,NA,NA,NA,NA,NA,NA,56.96,Isabel,0.015,NA,31.671,NA,55.596,56.417,NA,25.000,NA,0.821,NA,0.033,NA,0.001,NA,NA,
47,17109,5,2,2,400,2329.53,2437.2,590.67,2.86,7.83,Y,20170602,20170602,48.541,170504,05/04/17,2.79,12.90,32.433,48.804,170530,05/30/17,2.745,17.2,29.433,NA,NA,NA,NA,NA,NA,86.52,Isabel,0.014,NA,49.511,NA,87.882,89.690,NA,26.000,NA,1.808,NA,0.070,NA,0.001,NA,NA,
48,17127,9,3,3,900,2442.18,2466.7,908.54,2.07,7.59,Y,20170602,20170602,36.391,170506,05/06/17,2.80,13.00,32.667,36.260,170530,05/30/17,2.745,17.2,29.433,NA,NA,NA,NA,NA,NA,67.91,Isabel,0.019,NA,36.939,NA,65.221,66.242,NA,24.000,NA,1.021,NA,0.043,NA,0.001,NA,NA,
49,17150,6,2,3,400,2348.8,2454.04,519.42,3.1,7.83,Y,20170602,20170602,46.441,170505,05/05/17,2.79,12.90,32.533,46.369,170530,05/30/17,2.745,17.2,29.433,NA,NA,NA,NA,NA,NA,81.1,Isabel,0.015,NA,47.057,NA,83.965,85.114,NA,25.000,NA,1.149,NA,0.046,NA,0.001,NA,NA,
50,17165,3,1,3,400,2377.12,2484.38,574.36,2.93,7.84,Y,20170602,20170602,15.713,170505,05/05/17,2.79,12.90,32.533,15.812,170530,05/30/17,2.745,17.2,29.433,NA,NA,NA,NA,NA,NA,27.32,Isabel,0.015,NA,16.043,NA,26.654,27.270,NA,25.000,NA,0.615,NA,0.025,NA,0.001,NA,NA,
51,17183,15,5,3,900,2441.67,2467.77,890.65,2.12,7.62,Y,20170602,20170602,20.213,170505,05/05/17,2.79,12.90,32.533,20.227,170530,05/30/17,2.745,17.2,29.433,NA,NA,NA,NA,NA,NA,36.35,Isabel,0.015,NA,20.522,NA,35.046,35.623,NA,25.000,NA,0.577,NA,0.023,NA,0.001,NA,NA,
52,17191,4,2,1,400,2359.13,2470.99,545.47,2.98,7.83,Y,20170602,20170602,11.353,170505,05/05/17,2.79,12.90,32.533,11.382,170530,05/30/17,2.745,17.2,29.433,NA,NA,NA,NA,NA,NA,20.18,Isabel,0.015,NA,11.551,NA,18.521,18.891,NA,25.000,NA,0.370,NA,0.015,NA,0.001,NA,NA,
53,17197,10,4,1,2800,2587.92,2497.79,2378.18,1.08,7.23,Y,20170602,20170602,21.145,170506,05/06/17,2.80,13.00,32.667,22.183,170530,05/30/17,2.745,17.2,29.433,NA,NA,NA,NA,NA,NA,38.91,Isabel,0.019,NA,22.598,NA,36.786,39.495,NA,24.000,NA,2.709,NA,0.113,NA,0.003,NA,NA,
54,17205,17,6,2,2800,2608.91,2522.06,2346.38,1.21,7.23,Y,20170602,20170602,12.320,170506,05/06/17,2.80,13.00,32.667,12.139,170530,05/30/17,2.745,17.2,29.433,NA,NA,NA,NA,NA,NA,21.45,Isabel,0.019,NA,12.370,NA,20.326,20.420,NA,24.000,NA,0.094,NA,0.004,NA,0.000,NA,NA,
55,17011,14,5,2,900,2441,2468.42,865.45,2.15,7.62,Y,20170605,20170605,65.260,170506,05/06/17,2.80,13.00,32.667,65.030,170530,05/30/17,2.795,17.2,29.433,NA,NA,NA,NA,NA,NA,121.9,Isabel,0.001,NA,65.100,NA,119.063,118.765,NA,24.000,NA,-0.298,NA,-0.012,NA,0.000,NA,NA,
